--- Tesseract OCR Debug Output ---
Language: jpn+eng, PSM: --psm 6
Image Size: 375x375px
Target Center: (188, 188)
----------------------------------------
Conf	Left	Top	Width	Height	Text
89%	50	137	51	55	みや
92%	122	140	20	25	ぎ
96%	171	141	40	23	けん
96%	222	142	44	22	せん
92%	273	141	23	24	だ
91%	301	145	8	17	い
95%	346	141	17	24	し
5%	55	182	40	38	品
41%	127	169	61	52	城
96%	215	170	20	50	県
96%	233	169	142	61	仙台
94%	329	165	42	71	市
96%	49	224	52	25	すぎ
64%	110	225	47	38	きわ
96%	165	225	20	23	だ
87%	193	225	52	39	いさ
96%	245	220	28	48	ん
96%	274	227	45	21	こう
96%	330	227	43	21	こう
90%	49	252	326	52	杉沢
93%	177	248	54	72	第
93%	231	248	60	72	三
31%	291	252	84	52	高校
